t,Ref_pos,L_Cmd,R_Cmd,L_tau,R_tau,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel
4.818464994430542,0.0,0.7043883042352687,-0.019307352602481842,0.14321251213550568,-0.01464392558051486,1.1132798535770547,-0.07875131406798672,-11.331069535865945,-0.01464392558051486,1.1132798535770547,-0.07875131406798672,-11.331069535865945,1.1381464296409856
4.828466415405273,0.0,0.4665687221026683,-0.018761347979307175,0.30176329612731934,-0.01464392558051486,1.0839851722268605,-0.07752979743393208,-10.771998915506538,-0.01464392558051486,1.0839851722268605,-0.07752979743393208,-10.771998915506538,1.0756919261060776
4.838475465774536,0.0,0.2103013075174393,-0.01125398464500904,0.43594756722450256,-0.01464392558051486,1.0986290978073754,-0.0353256483408667,-9.767520560313198,-0.01464392558051486,1.0986290978073754,-0.0353256483408667,-9.767520560313198,1.0131472538011734
4.848466396331787,0.0,0.049979058378279706,-0.012894587591290474,0.5136277675628662,-0.01464392558051486,1.0986290978073754,-0.06283744020931979,-8.733151589764589,-0.01464392558051486,1.0986290978073754,-0.06283744020931979,-8.733151589764589,0.9506758462973532
4.858466625213623,0.0,0.022485869062080277,-0.009324089623987675,0.5161128044128418,-0.01464392558051486,1.0839851722268605,-0.09615918508588814,-7.823378076281706,-0.01464392558051486,1.0839851722268605,-0.09615918508588814,-7.823378076281706,0.8881087835622108
4.868489742279053,0.0,0.09643767511530202,-0.00881991721689701,0.4521211087703705,0.0,1.0839851722268605,-0.06398973447696193,-7.014041640770215,0.0,1.0839851722268605,-0.06398973447696193,-7.014041640770215,0.8253633382685186
4.878467321395874,0.0,0.22160238621243478,-0.009641564451158047,0.3600001037120819,-0.01464392558051486,1.0839851722268605,-0.08562638638538718,-6.285153734624074,-0.01464392558051486,1.0839851722268605,-0.08562638638538718,-6.285153734624074,0.7628704481098645
4.888495683670044,0.0,0.3250707516533047,-0.011109736748039722,0.275429368019104,-0.01464392558051486,1.0839851722268605,-0.08765668679659991,-5.629014173327738,-0.01464392558051486,1.0839851722268605,-0.08765668679659991,-5.629014173327738,0.7000292791692913
4.898471355438232,0.0,0.34141495303600133,-0.010922624729573727,0.22400987148284912,-0.01464392558051486,1.0839851722268605,-0.06265109077081217,-5.039017737066981,-0.01464392558051486,1.0839851722268605,-0.06265109077081217,-5.039017737066981,0.6374907084501422
4.908465147018433,0.0,0.24294194050625983,-0.008939304389059544,0.21237622201442719,-0.01464392558051486,1.0839851722268605,-0.032092630991083386,-4.53536342965165,-0.01464392558051486,1.0839851722268605,-0.032092630991083386,-4.53536342965165,0.5748134311366138
4.918466567993164,0.0,0.04184499783573259,-0.005947033409029245,0.2349845916032791,-0.01464392558051486,1.0839851722268605,-0.05710454360783208,-4.048634330999609,-0.01464392558051486,1.0839851722268605,-0.05710454360783208,-4.048634330999609,0.5120656153368033
4.928490877151489,0.0,-0.20351115893060612,-0.010317550972104073,0.26115989685058594,-0.01464392558051486,1.0839851722268605,-0.09281879569492878,-3.6452087807859828,-0.01464392558051486,1.0839851722268605,-0.09281879569492878,-3.6452087807859828,0.4491539127998917
4.938472509384155,0.0,-0.420160500609248,-0.005371175706386566,0.2596486806869507,-0.01464392558051486,1.0839851722268605,-0.11819090073879647,-3.277621019704002,-0.01464392558051486,1.0839851722268605,-0.11819090073879647,-3.277621019704002,0.38649233894415336
4.94849705696106,0.0,-0.5462356014517417,-0.0030115311965346336,0.2140575349330902,-0.01464392558051486,1.0839851722268605,-0.1298442973603225,-2.9348699608783027,-0.01464392558051486,1.0839851722268605,-0.1298442973603225,-2.9348699608783027,0.3235460592615109
4.958489894866943,0.0,-0.5501449884146699,-0.007470009848475456,0.11852558702230453,-0.01464392558051486,1.0839851722268605,-0.13478315112026315,-2.6393221259631505,-0.01464392558051486,1.0839851722268605,-0.13478315112026315,-2.6393221259631505,0.2607861137773105
4.968521595001221,0.0,-0.4490812846890321,-0.01654277741909027,-0.006938125006854534,-0.01464392558051486,1.0839851722268605,-0.1328407627141879,-2.368035763310118,-0.01464392558051486,1.0839851722268605,-0.1328407627141879,-2.368035763310118,0.1977717568806617
